name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Grape Leaf,"Hotel Vindu, Chanda Nagar",Casual Dining,2.9,12 votes,9 reviews,https://www.zomato.com/hyderabad/grape-leaf-chanda-nagar,74,"Chinese, North Indian",₹750,11:30 AM to 11 PM (Mon-Sun),,,,,,,
Chai Point,Gachibowli,Quick Bites,2.9,4 votes,4 reviews,https://www.zomato.com/hyderabad/chai-point-gachibowli,74,Fast Food,₹150,8 AM to 8 PM (Mon-Sun),,,,,,,
Wei China,Drive N Dine,Quick Bites,-,,,https://www.zomato.com/hyderabad/wei-china-kondapur,74,Chinese,₹300,12 Noon to 2 AM (Mon-Sun),,,,,,,
Fishermen Restaurant,Kukatpally,Casual Dining,2.7,12 votes,8 reviews,https://www.zomato.com/hyderabad/fishermen-restaurant-kukatpally,74,"North Indian, Chinese, Biryani",₹700,11 AM to 11 PM (Mon-Sun),,,,,,,
Shawarma Bytes,Kukatpally,Quick Bites,3.3,17 votes,6 reviews,https://www.zomato.com/hyderabad/shawarma-bytes-kukatpally,74,"Arabian, Fast Food",₹150,1:30 PM to 10 PM (Mon-Sun),,,,,,,
Cafe Southern,Madhapur,Casual Dining,3.2,9 votes,6 reviews,https://www.zomato.com/hyderabad/cafe-southern-madhapur,74,South Indian,₹250,7 AM to 11 PM (Mon-Sun),,,,,,,
Cookie Man,"Inorbit Mall, Hitech City",BakeryDessert Parlor,3.2,11 votes,7 reviews,https://www.zomato.com/hyderabad/cookie-man-hitech-city,74,"Bakery, Desserts",₹200,10 AM to 10 PM (Mon-Sun),,,,,,Save 15% on Citibank Credit & Debit Cards   [T&C],
Sandarshini Inn,Koti,Casual Dining,2.8,15 votes,5 reviews,https://www.zomato.com/hyderabad/sandarshini-inn-koti,74,"North Indian, South Indian, Chinese",₹450,8 AM to 11 PM (Mon-Sun),,,,,,,
Papaji Ka Dhaba,Kompally,Casual Dining,2.8,11 votes,9 reviews,https://www.zomato.com/hyderabad/papaji-ka-dhaba-kompally,74,"North Indian, Mughlai, Chinese, Biryani",₹500,11:30 AM to 11 PM (Mon-Sun),,,,,,,
Balaji Jodhpur Sweets House,Lingampally,Dessert ParlorSweet Shop,3.1,13 votes,6 reviews,https://www.zomato.com/hyderabad/balaji-jodhpur-sweets-house-lingampally,74,Desserts,₹150,7 AM to 10 PM (Mon-Sun),,,,,,,
Mummy Ki Rassoi,Kondapur,,2.8,13 votes,9 reviews,https://www.zomato.com/hyderabad/mummy-ki-rassoi-kondapur,74,North Indian,₹200,7 AM to 11 PM (Mon-Sun),,,,,,,
Mamagoto,Kondapur,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/mamagoto-kondapur,74,Asian,"₹1,500",12:30 PM to 11 PM (Mon-Sun),,,,,,,
Balaji Santosh Family Dhaba,Uppal,Casual Dining,2.9,14 votes,7 reviews,https://www.zomato.com/hyderabad/balaji-santosh-family-dhaba-uppal-secunderabad,75,"North Indian, Chinese",₹450,12 Noon to 11:30 PM (Mon-Sun),,,,,,,
Hari Dosa,Ameerpet,Quick Bites,-,,2 reviews,https://www.zomato.com/hyderabad/hari-dosa-ameerpet,75,South Indian,₹100,3 AM to 12 Noon (Mon-Sun),,,,,,,
Swad Tiffins,Abids,Quick Bites,2.8,10 votes,8 reviews,https://www.zomato.com/hyderabad/swad-tiffins-abids,75,South Indian,₹100,6 AM to 3 PM (Mon-Sun),,,,,,,
Lemon N Spice,Gachibowli,Casual Dining,3.2,11 votes,6 reviews,https://www.zomato.com/hyderabad/lemon-n-spice-gachibowli,75,"North Indian, Chinese",₹450,"11 AM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Terrace Bay,Somajiguda,Casual Dining,,,7 reviews,https://www.zomato.com/hyderabad/terrace-bay-somajiguda,75,"North Indian, Chinese","₹1,250",,,,,,,,
Pooja Tiffins,Abids,Quick Bites,2.9,13 votes,6 reviews,https://www.zomato.com/hyderabad/pooja-tiffins-abids,75,South Indian,₹200,7 AM to 12 Midnight (Mon-Sun),,,,,,,
Italia - Ellaa Hotels,"Ellaa Hotels, Gachibowli",Casual Dining,2.7,23 votes,6 reviews,https://www.zomato.com/hyderabad/italia-ellaa-hotels-gachibowli,75,Italian,"₹1,500",7:30 PM to 11 PM (Mon-Sun),,,,,,15% off on Axis Bank Credit & Debit Cards   [T&C],
Hotel City Point,Himayath Nagar,Quick Bites,2.8,7 votes,4 reviews,https://www.zomato.com/hyderabad/hotel-city-point-himayath-nagar,75,"Street Food, Chinese, North Indian",₹200,4:30 AM to 11 PM (Mon-Sun),,,,,,,
13 DHABA,Kondapur,Quick Bites,2.7,4 votes,4 reviews,https://www.zomato.com/hyderabad/13-dhaba-kondapur,75,North Indian,₹450,"Closed (Mon),12 Noon to 3:30 PM, 7 PM to 10:30 PM...",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Amul Ice Spice,Langer Houz,Dessert ParlorQuick Bites,3.1,8 votes,4 reviews,https://www.zomato.com/hyderabad/amul-ice-spice-langer-houz,75,"Ice Cream, Street Food",₹150,10 AM to 10 PM (Mon-Sun),,,,,,,
Street 6 Bakers,Saroor Nagar,Quick BitesBakery,2.8,16 votes,6 reviews,https://www.zomato.com/hyderabad/street-6-bakers-saroor-nagar,75,"Bakery, Desserts, Fast Food, Chinese, Street Food",₹400,10 AM to 10 PM (Mon-Sun),,,,,,,
Sardarji's Dhaba,Via Rd 2,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sardarjis-dhaba-banjara-hills,75,"Street Food, North Indian",₹400,12 Noon to 10:30 PM (Mon-Sun),Get 10% off your first home-delivery order from us. Valid only when you order online on Zomato.,,,,,,
Floating Tongues,Sainikpuri,Dessert ParlorQuick Bites,3.2,18 votes,9 reviews,https://www.zomato.com/hyderabad/floating-tongues-sainikpuri-secunderabad,75,"Fast Food, Ice Cream",₹400,11 AM to 10:30 PM (Mon-Sun),,,,,,,
Cakes Lake,Boiguda,,3.1,6 votes,5 reviews,https://www.zomato.com/hyderabad/cakes-lake-boiguda-secunderabad,75,Desserts,₹300,9 AM to 10 PM (Mon-Sun),,,,,,,
Roll Zone,"Kapil Towers, Nanakramguda, Gachibowli",Quick BitesFood Court,3.2,13 votes,7 reviews,https://www.zomato.com/hyderabad/roll-zone-gachibowli,75,Fast Food,₹200,11 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Nandini,Koti,Casual Dining,2.9,7 votes,4 reviews,https://www.zomato.com/hyderabad/hotel-nandini-koti,75,"South Indian, North Indian, Chinese",₹400,6 AM to 10:30 PM (Mon-Sun),,,,,,,
