name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Chaat Hut,"Horizon Drive-In, Banjara Hills",Food Court,-,,1 Review,https://www.zomato.com/hyderabad/chaat-hut-banjara-hills,126,Street Food,₹200,12 Noon to 10 PM (Mon-Sun),,,,,,,
Chocolate Hut,"Eat Street, Necklace Road",Dessert Parlor,-,,,https://www.zomato.com/hyderabad/chocolate-hut-1-necklace-road,126,Desserts,₹100,10:30 AM to 10:30 PM (Mon-Sun),,,,,,,
S D Al Makkah,Yousufguda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/s-d-al-makkah-yousufguda,126,"Biryani, Hyderabadi",₹200,11 AM to 11 PM (Mon-Sun),,,,,,,
Udupi Tiffin Center,Panjagutta,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/udupi-tiffin-center-panjagutta,126,South Indian,₹100,6 AM to 11 PM (Mon-Sun),,,,,,,
Ruchi Curries,Kukatpally,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/ruchi-curries-kukatpally,126,"Biryani, North Indian",₹300,10 AM to 10:30 PM (Mon-Sun),,,,,,,
Adithya Mess,Mehdipatnam,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/adithya-mess-mehdipatnam,126,South Indian,₹100,5:30 AM to 10 PM (Mon-Sun),,,,,,,
New Udipi's Hotel,Kompally,Quick Bites,-,,,https://www.zomato.com/hyderabad/new-udipis-hotel-kompally,126,South Indian,₹200,6:30 AM to 10 PM (Mon-Sun),,,,,,,
Cakes Hub,Madhapur,Bakery,-,,,https://www.zomato.com/hyderabad/cakes-hub-madhapur,126,Bakery,₹250,11 AM to 11 PM (Mon-Sun),,,,,,,
Sri Annapurna Curries,Kukatpally,Casual Dining,-,,,https://www.zomato.com/hyderabad/sri-annapurna-curries-kukatpally,126,"North Indian, Biryani, Chinese",₹450,"11:30 AM to 3 PM, 6 PM to 10:30 PM (Mon-Sun)",,,,,,,
Warm Dine,Hitech City,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/warm-dine-hitech-city,126,"North Indian, South Indian",₹450,12 Noon to 11 PM (Mon-Sun),,,,,,,
Cake World Bakers,Trimulgherry,Bakery,-,,,https://www.zomato.com/hyderabad/cake-world-bakers-trimulgherry-secunderabad,126,"Bakery, Fast Food",₹250,10 AM to 10 PM (Mon-Sun),,,,,,,
Sri Sai Lokanth,Gachibowli,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sri-sai-lokanth-gachibowli,126,South Indian,₹200,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Agra Mithaiwala Food & Chat,"Kapil Towers, Nanakramguda, Gachibowli",Dessert Parlor,-,,1 Review,https://www.zomato.com/hyderabad/agra-mithaiwala-food-chat-gachibowli,126,"Desserts, Street Food",₹150,8:30 AM to 10:30 PM (Mon-Sun),,,,,,,
Vihar Restaurant & Bar,Balanagar,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/vihar-restaurant-bar-balanagar,126,"North Indian, Chinese",₹500,10:30 AM to 11 PM (Mon-Sun),,,,,,,
Sri Rama Ice Cream Parlour,Kukatpally,Dessert Parlor,-,,,https://www.zomato.com/hyderabad/sri-rama-ice-cream-parlour-kukatpally,126,"Ice Cream, Desserts",₹100,10 AM to 10:30 PM (Mon-Sun),,,,,,,
5 To 11 Cafe,Mehdipatnam,Quick Bites,-,,,https://www.zomato.com/hyderabad/5-to-11-cafe-mehdipatnam,126,Street Food,₹150,5 AM to 11 PM (Mon-Sun),,,,,,,
Devi Restaurant & Bar,A S Rao Nagar,Bar,-,,1 Review,https://www.zomato.com/hyderabad/devi-restaurant-bar-as-rao-nagar-secunderabad,127,"North Indian, Chinese, Biryani",₹550,10 AM to 11:45 PM (Mon-Sun),,,,,,,
Shabnam Hotel,Miyapur,Quick Bites,-,,,https://www.zomato.com/hyderabad/shabnam-hotel-miyapur,127,"Hyderabadi, Biryani",₹180,11 AM to 11 PM (Mon-Sun),,,,,,,
Swadh Shuadh Veg Tiffin Box,Alwal,Quick Bites,-,,,https://www.zomato.com/hyderabad/swadh-shuadh-veg-tiffin-box-alwal-secunderabad,127,"South Indian, North Indian",₹100,8:30 AM to 7:30 PM (Mon-Sun),,,,,,,
Sri Sivarami Reddy Pure Ghee Sweets,Nacharam,Sweet Shop,-,,1 Review,https://www.zomato.com/hyderabad/sri-sivarami-reddy-pure-ghee-sweets-nacharam-secunderabad,127,Mithai,₹200,7:30 AM to 10 PM (Mon-Sun),,,,,,,
Nani Curry Point,Boiguda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/nani-curry-point-boiguda-secunderabad,127,Hyderabadi,₹300,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Vijay Fast Food Center,Himayath Nagar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/vijay-fast-food-center-himayath-nagar,127,"Street Food, Chinese",₹250,11 AM to 11 PM (Mon-Sun),,,,,,,
Mr Iscreamer's,Theiosz Drive In,Dessert Parlor,-,,1 Review,https://www.zomato.com/hyderabad/mr-iscreamers-nizampet,127,Ice Cream,₹200,12 Noon to 11 PM (Mon-Sun),,,,,,,
Sagar Family Dhaba,Gandipet,Casual Dining,-,,,https://www.zomato.com/hyderabad/sagar-family-dhaba-gandipet,127,"North Indian, Chinese",₹450,11 AM to 6 PM (Mon-Sun),,,,,,,
Sri Manjunatha Bangalore Iyangar's Bakery,Tarnaka,Bakery,-,,,https://www.zomato.com/hyderabad/sri-manjunatha-bangalore-iyangars-bakery-tarnaka,127,"Bakery, Desserts",₹150,7 AM to 10 PM (Mon-Sun),,,,,,,
Yum! Bites,Kukatpally,Kiosk,-,,1 Review,https://www.zomato.com/hyderabad/yum-bites-kukatpally,127,Street Food,₹100,1 PM to 9:30 PM (Mon-Sun),,,,,,,
Mist and Creams,The Alley,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/mist-and-creams-madhapur,127,Ice Cream,₹300,10 AM to 2 AM (Mon-Sun),,,,,,,
Akbar Hotel & Chinese Fast Food,Charminar,Quick Bites,-,,,https://www.zomato.com/hyderabad/akbar-hotel-chinese-fast-food-charminar,127,"Street Food, Chinese",₹200,7 AM to 11 PM (Mon-Sun),,,,,,,
Mayuri Takeaway,Yousufguda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/mayuri-takeaway-yousufguda,127,"South Indian, Biryani",₹400,"11:30 AM to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",,,,,,,
New Raj Bhog,Basheer Bagh,Dessert ParlorSweet Shop,-,,1 Review,https://www.zomato.com/hyderabad/new-raj-bhog-basheer-bagh,127,"Desserts, Street Food",₹250,8 AM to 11 PM (Mon-Sun),,,,,,,
Surya Deluxe Mess,Jubilee Hills,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/surya-deluxe-mess-jubilee-hills,127,South Indian,₹200,"12 Noon to 3 PM, 7 PM to 10:30 PM (Mon-Sun)",,,,,,,
Hassan Restaurant,Mehdipatnam,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/hassan-restaurant-mehdipatnam,127,South Indian,₹150,5 AM to 12 Midnight (Mon-Sun),,,,,,,
Delhi Mithai Vatika,Charminar,Quick Bites,-,,,https://www.zomato.com/hyderabad/delhi-mithai-vatika-charminar,127,"Street Food, Juices",₹200,10 AM to 10 PM (Mon-Sun),,,,,,,
Chocolate Atelier,Charminar,BakeryDessert Parlor,-,,,https://www.zomato.com/hyderabad/chocolate-atelier-charminar,127,"Bakery, Desserts",₹250,10:30 AM to 6:30 PM (Mon-Sun),,,,,,,
Riya Food Court,Lakdikapul,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/riya-food-court-lakdikapul,127,"Chinese, North Indian",₹400,6 AM to 1 AM (Mon-Sun),,,,,,,
Fresh Loaf,Gachibowli,BakeryDessert Parlor,-,,,https://www.zomato.com/hyderabad/fresh-loaf-gachibowli,127,"Bakery, Desserts",₹200,11:30 AM to 11 PM (Mon-Sun),,,,,,,
McCain,"Hema Durga Cinemax, Uppal",Kiosk,-,,1 Review,https://www.zomato.com/hyderabad/mccain-uppal-secunderabad,127,Fast Food,₹150,9 AM to 12 Midnight (Mon-Sun),,,,,,,
Level 2 Cafeteria,Banjara Hills,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/level-2-cafeteria-banjara-hills,127,"Chinese, North Indian",₹350,10 AM to 11 PM (Mon-Sun),,,,,,,
Vinayaka TiffIns & Fast Food Center,Manikonda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/vinayaka-tiffins-fast-food-center-manikonda,127,Fast Food,₹250,11 AM to 10 PM (Mon-Sun),,,,,,,
Tasty Meals & Curries,Karkhana,Quick Bites,-,,,https://www.zomato.com/hyderabad/tasty-meals-curries-karkhana-secunderabad,127,South Indian,₹250,"11 AM to 4 PM (Mon-Sat),Closed (Sun)",,,,,,,
Softy Times,Kothapet,Dessert ParlorQuick Bites,-,,1 Review,https://www.zomato.com/hyderabad/softy-times-kothapet,127,"Desserts, Fast Food",₹400,10 AM to 10 PM (Mon-Sun),,,,,,,
Dimpy's Bakery,Marredpally,BakeryQuick Bites,-,,1 Review,https://www.zomato.com/hyderabad/dimpys-bakery-marredpally-secunderabad,127,"Bakery, Fast Food",₹150,12:30 PM to 10:30 PM (Mon-Sun),,,,,,,
Espresso,Banjara Hills,CaféCasual Dining,-,,1 Review,https://www.zomato.com/hyderabad/espresso-banjara-hills,127,"Cafe, North Indian, Chinese",₹550,9 AM to 3 AM (Mon-Sun),,,,,,,
Food Den,Madhapur,,-,,,https://www.zomato.com/hyderabad/food-den-madhapur,127,"North Indian, Chinese, Mughlai",₹500,9 PM to 3 AM (Mon-Sun),,,,,,,
Osmania Restaurant & Bakery,Chandrayanagutta,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/osmania-restaurant-bakery-chandrayanagutta,127,"Street Food, Hyderabadi",₹200,5 AM to 11 PM (Mon-Sun),,,,,,,
Sri Anapurna Mess,Masab Tank,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sri-anapurna-mess-masab-tank,127,South Indian,₹150,"11 AM to 4:30 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Khana Hai,Gachibowli,Kiosk,-,,,https://www.zomato.com/hyderabad/khana-hai-1-gachibowli,128,South Indian,₹250,"12 Noon to 2:30 PM, 6:30 PM to 12:30 AM (Mon-Sun)",,,,,,,
Gemini World Udipi Home,Ameerpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/gemini-world-udipi-home-ameerpet,128,South Indian,₹150,6 AM to 10 PM (Mon-Sun),,,,,,,
Madhavi Deluxe,Marredpally,Quick Bites,-,,,https://www.zomato.com/hyderabad/madhavi-deluxe-1-marredpally-secunderabad,128,Andhra,₹250,"12 Noon to 4 PM, 7 PM to 10 PM (Mon-Sun)",,,,,,,
King Chat Darbar,Mehdipatnam,Quick Bites,-,,,https://www.zomato.com/hyderabad/king-chat-darbar-mehdipatnam,128,"Street Food, South Indian",₹150,5 AM to 1:30 AM (Mon-Sun),,,,,,,
Vishal Chinese Fast Food,Yousufguda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/vishal-chinese-fast-food-yousufguda,128,"Chinese, Street Food",₹200,11 AM to 10:30 PM (Mon-Sun),,,,,,,
Zee Corner Cafe,Nacharam,Quick Bites,-,,,https://www.zomato.com/hyderabad/zee-corner-cafe-nacharam-secunderabad,128,"Street Food, Chinese, South Indian",₹150,5 AM to 11 PM (Mon-Sun),,,,,,,
Swetha Restaurant & Bar,Alwal,Bar,-,,1 Review,https://www.zomato.com/hyderabad/swetha-restaurant-bar-alwal-secunderabad,128,Finger Food,₹700,10:30 AM to 11 PM (Mon-Sun),,,,,,,
Pritan Food & Beverages,Kondapur,Dessert Parlor,-,,1 Review,https://www.zomato.com/hyderabad/pritan-food-beverages-kondapur,128,"Beverages, Desserts",₹150,11 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Kings Darbar,Railway Station Road,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/hotel-kings-darbar-railway-station-road-secunderabad,128,"Street Food, Chinese, South Indian",₹250,6 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Suruchi Veg,Lakdikapul,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/hotel-suruchi-veg-lakdikapul,128,South Indian,₹150,5 AM to 10 PM (Mon-Sun),,,,,,,
HKGN Family Dhaba,Gandipet,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/hkgn-family-dhaba-gandipet,128,North Indian,₹300,11 AM to 9 PM (Mon-Sun),,,,,,,
Mexican Pizza,Banjara Hills,,-,,1 Review,https://www.zomato.com/hyderabad/mexican-pizza-banjara-hills,128,Mexican,₹450,12 Noon to 12 Midnight (Mon-Sun),,,,,,,
Yo Gelato Ice Creams,"Eat Street, Necklace Road",Dessert ParlorFood Court,-,,,https://www.zomato.com/hyderabad/yo-gelato-ice-creams-necklace-road,128,Desserts,₹150,12 Noon to 11 PM (Mon-Sun),,,,,,,
New Limra Cafe,Tolichowki,Quick Bites,-,,,https://www.zomato.com/hyderabad/new-limra-cafe-tolichowki,128,Street Food,₹150,6 AM to 12 Midnight (Mon-Sun),,,,,,,
Bismilla Hotel,Miyapur,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/bismilla-hotel-miyapur,128,Biryani,₹150,11:30 AM to 11:30 PM (Mon-Sun),,,,,,,
GPS Food Amul,Masab Tank,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/gps-food-amul-masab-tank,128,Fast Food,₹300,10 AM to 11 PM (Mon-Sun),,,,,,,
Master Kabab's,Chanda Nagar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/master-kababs-chanda-nagar,128,"Street Food, Chinese",₹150,11 AM to 11 PM (Mon-Sun),,,,,,,
Snack House,Sainikpuri,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/snack-house-sainikpuri-secunderabad,128,Fast Food,₹200,12 Noon to 9 PM (Mon-Sun),,,,,,,
Mamma's Lunch Box Center,Manikonda,,-,,,https://www.zomato.com/hyderabad/mammas-lunch-box-center-manikonda,128,"North Indian, Rajasthani",₹400,"1 AM to 2:30 AM (Mon-Fri),24 Hours (Sat-Sun)",,,,,,,
Slices of Mozzarella,Tarnaka,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/slices-of-mozzarella-tarnaka,128,"Pizza, Fast Food",₹250,2:30 PM to 10 PM (Mon-Sun),,,,,,,
Friends Cafe,Malakpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/friends-cafe-malakpet,128,Street Food,₹150,5 AM to 12 Midnight (Mon-Sun),,,,,,,
Corner Food Point,Begumpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/corner-food-point-begumpet,128,"Street Food, North Indian, Chinese",₹250,11 AM to 11 PM (Mon-Sun),,,,,,,
Haiku,Banjara Hills,Casual Dining,,,,https://www.zomato.com/hyderabad/haiku-banjara-hills,128,Asian,₹600,,,,,,,,
Grand Garden Family restaurant,Jeedimetla,Casual Dining,-,,,https://www.zomato.com/hyderabad/grand-garden-family-restaurant-jeedimetla,128,"North Indian, Chinese, Biryani",₹800,11 AM to 12 Midnight (Mon-Sun),,,,,,,
Gracious Chocolates,Chanda Nagar,Dessert Parlor,-,,,https://www.zomato.com/hyderabad/gracious-chocolates-chanda-nagar,128,Desserts,₹300,10 AM to 10 PM (Mon-Sun),,,,,,,
Aghai Restaurant,Nampally,Quick Bites,-,,,https://www.zomato.com/hyderabad/aghai-restaurant-nampally,128,"Street Food, North Indian, South Indian",₹250,6 AM to 11 PM (Mon-Sun),,,,,,,
Jai Ganesh Udipi Hotel,Nampally,Quick Bites,-,,,https://www.zomato.com/hyderabad/jai-ganesh-udipi-hotel-nampally,128,"South Indian, Chinese",₹150,"11 AM to 5 PM, 7 PM to 11 PM (Mon-Sun)",,,,,,,
Pakodi Factory,Kukatpally,Quick Bites,-,,,https://www.zomato.com/hyderabad/pakodi-factory-3-kukatpally,128,Street Food,₹300,4 PM to 10 PM (Mon-Sun),,,,,,,
Hyderabad Tiffins & Meals,Attapur,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/hyderabad-tiffins-meals-attapur,128,South Indian,₹150,5 AM to 10:30 PM (Mon-Sun),,,,,,,
Om Sai Teja V Tirupathi Reddy Sweet House & Bakery,Kompally,Quick BitesSweet Shop,-,,,https://www.zomato.com/hyderabad/om-sai-teja-v-tirupathi-reddy-sweet-house-bakery-kompally,128,"Street Food, Chinese",₹150,7 AM to 10 PM (Mon-Sun),,,,,,,
Sai Ram Krishna Gopal Chat Bhandar,A S Rao Nagar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sai-ram-krishna-gopal-chat-bhandar-as-rao-nagar-secunderabad,129,Street Food,₹150,3 PM to 9:30 PM (Mon-Sun),,,,,,,
Hotel Silver Sea,Mehdipatnam,Quick Bites,-,,,https://www.zomato.com/hyderabad/hotel-silver-sea-mehdipatnam,129,North Indian,₹150,6 AM to 11 PM (Mon-Sun),,,,,,,
New Sangam Hotel,Kacheguda,Quick Bites,-,,,https://www.zomato.com/hyderabad/new-sangam-hotel-kacheguda,129,"Street Food, Chinese, South Indian",₹200,5 AM to 10:30 PM (Mon-Sun),,,,,,,
Safa Bakers & Sweets,Falaknuma,Dessert Parlor,-,,,https://www.zomato.com/hyderabad/safa-bakers-sweets-falaknuma,129,"Bakery, Fast Food, Desserts",₹250,7 AM to 12 Midnight (Mon-Sun),,,,,,,
New Deccan Darbar Cafe,Charminar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/new-deccan-darbar-cafe-charminar,129,Street Food,₹100,6 AM to 11 PM (Mon-Sun),,,,,,,
Entry,Banjara Hills,Quick Bites,-,,,https://www.zomato.com/hyderabad/entry-banjara-hills,129,"Chinese, Continental",₹600,11 AM to 2 AM (Mon-Sun),,,,,,,
Shiva Tiffin Centre,Charminar,Quick Bites,-,,,https://www.zomato.com/hyderabad/shiva-tiffin-centre-charminar,129,South Indian,₹100,6 AM to 6 PM (Mon-Sun),,,,,,,
Shurbs,Begumpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/shurbs-begumpet,129,Fast Food,₹550,11 AM to 11 PM (Mon-Sun),,,,,,,
Ambees,A S Rao Nagar,Quick BitesBakery,-,,1 Review,https://www.zomato.com/hyderabad/ambees-as-rao-nagar-secunderabad,129,"Fast Food, Bakery",₹150,8 AM to 10 PM (Mon-Sun),,,,,,,
Straws & Spoons,Asian Laxmikala cinepride,Dessert Parlor,-,,,https://www.zomato.com/hyderabad/straws-spoons-moosapet,129,"Desserts, Ice Cream, Beverages",₹300,11 AM to 11 PM (Mon-Sun),,,,,,,
Kailash Parbat,Necklace Road,Food Court,-,,,https://www.zomato.com/hyderabad/kailash-parbat-necklace-road,129,"North Indian, Street Food",₹600,11 AM to 11 PM (Mon-Sun),,,,,,,
Good Luck Cafe,Langer Houz,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/good-luck-cafe-langer-houz,129,"Street Food, Hyderabadi",₹150,5 AM to 12 Midnight (Mon-Sun),,,,,,,
Rajesh Bhavan Veg,Koti,Quick Bites,-,,,https://www.zomato.com/hyderabad/rajesh-bhavan-veg-koti,129,South Indian,₹150,8 AM to 10 PM (Mon-Sun),,,,,,,
Sri Chinese Fast Food,Srinagar Colony,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sri-chinese-fast-food-srinagar-colony,129,"Street Food, Chinese",₹150,11 AM to 10:30 PM (Mon-Sun),,,,,,,
Njoying Chat & Juice Center,Lakdikapul,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/njoying-chat-juice-center-lakdikapul,129,"Street Food, Juices",₹150,11 AM to 10 PM (Mon-Sun),,,,,,,
Shree Krishna Tiffins,Khairatabad,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/shree-krishna-tiffins-khairatabad,129,"South Indian, North Indian",₹150,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Imran Bakery,Langer Houz,Bakery,-,,,https://www.zomato.com/hyderabad/imran-bakery-langer-houz,129,Bakery,₹150,8:30 AM to 11 PM (Mon-Sun),,,,,,,
Hari Bol,Adikmet,Quick Bites,-,,,https://www.zomato.com/hyderabad/hari-bol-adikmet,129,South Indian,₹150,5:30 AM to 12 Midnight (Mon-Sun),,,,,,,
New Royal Point Hotel,Marredpally,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/new-royal-point-hotel-marredpally-secunderabad,129,"Street Food, Chinese",₹150,6 AM to 11 PM (Mon-Sun),,,,,,,
Vaishnavi Rajasthan Chat Wala's,Marredpally,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/vaishnavi-rajasthan-chat-walas-marredpally-secunderabad,129,Street Food,₹100,11:30 AM to 9 PM (Mon-Sun),,,,,,,
Royal Tea Point & Chat Bhandar,Abids,Quick Bites,-,,,https://www.zomato.com/hyderabad/royal-tea-point-chat-bhandar-abids,129,Street Food,₹150,6 AM to 11 PM (Mon-Sun),,,,,,,
The Tiffin House,Ameerpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/the-tiffin-house-ameerpet,129,South Indian,₹150,6 AM to 11:30 PM (Mon-Sun),,,,,,,
Aalishan Hotel,Rajendra Nagar,Quick Bites,-,,,https://www.zomato.com/hyderabad/aalishan-hotel-rajendra-nagar,129,"Street Food, Chinese",₹150,5 AM to 11 PM (Mon-Sun),,,,,,,
Indu Mayuri Foods,Yousufguda,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/indu-mayuri-foods-yousufguda,129,"South Indian, Biryani",₹300,"12 Noon to 3 PM, 6 PM to 11 PM (Mon-Sun)",,,,,,,
Sri Sai Akshita Tiffins,Malakpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/sri-sai-akshita-tiffins-malakpet,129,South Indian,₹100,3 AM to 12 Noon (Mon-Sun),,,,,,,
Kunal Food Point,Khairatabad,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/kunal-food-point-khairatabad,129,"Street Food, Chinese, North Indian",₹300,11 AM to 11 PM (Mon-Sun),,,,,,,
R R Chinese Fast Food,Kukatpally,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/r-r-chinese-fast-food-kukatpally,129,"Street Food, Chinese",₹200,8 AM to 10:30 PM (Mon-Sun),,,,,,,
Shri Madhurram Pure Ghee Sweets,Nacharam,Sweet Shop,-,,,https://www.zomato.com/hyderabad/shri-madhurram-pure-ghee-sweets-1-nacharam-secunderabad,129,Mithai,₹150,8:30 AM to 10 PM (Mon-Sun),,,,,,,
Lucky Silver Sea Cafe,Mehdipatnam,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/lucky-silver-sea-cafe-mehdipatnam,129,"Street Food, Chinese, Biryani",₹200,5 AM to 10 PM (Mon-Sun),,,,,,,
Omega Cafe,Khairatabad,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/omega-cafe-khairatabad,129,Street Food,₹150,4 AM to 11 PM (Mon-Sun),,,,,,,
Dasti Hotel,Railway Station Road,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/dasti-hotel-railway-station-road-secunderabad,130,South Indian,₹200,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Bakers Day,Kukatpally,BakeryQuick Bites,-,,1 Review,https://www.zomato.com/hyderabad/bakers-day-kukatpally,130,"Bakery, Fast Food",₹100,8 AM to 11 PM (Mon-Sun),,,,,,,
Surya Bakery,Film Nagar,Bakery,-,,1 Review,https://www.zomato.com/hyderabad/surya-bakery-film-nagar,130,Bakery,₹150,8 AM to 11 PM (Mon-Sun),,,,,,,
Kitchenwali,Nallakunta,Quick Bites,-,,,https://www.zomato.com/hyderabad/kitchenwali-nallakunta,130,Fast Food,₹80,9 AM to 9 PM (Mon-Sun),,,,,,,
Noodle Hut,Meerpet,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/noodle-hut-meerpet,130,"Street Food, Chinese",₹200,12 Noon to 10 PM (Mon-Sun),,,,,,,
Kwik Bytes,S D Road,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/kwik-bytes-sd-road-secunderabad,130,Fast Food,₹350,10 AM to 11 PM (Mon-Sun),,,,,,,
Galaxy Bakers & Confectionary,Jeedimetla,Dessert ParlorBakery,-,,,https://www.zomato.com/hyderabad/galaxy-bakers-confectionary-jeedimetla,130,"Bakery, Fast Food, Desserts",₹200,9 AM to 10 PM (Mon-Sun),,,,,,,
Sri Matrey,Adikmet,,-,,1 Review,https://www.zomato.com/hyderabad/sri-matrey-adikmet,130,South Indian,₹200,8 AM to 8 PM (Mon-Sun),,,,,,,
Basanth Restaurant,Basheer Bagh,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/basanth-restaurant-basheer-bagh,130,"Street Food, Chinese, North Indian",₹150,6 AM to 11 PM (Mon-Sun),,,,,,,
Hotel Amar Point,Yousufguda,Quick Bites,-,,,https://www.zomato.com/hyderabad/hotel-amar-point-yousufguda,130,"Street Food, South Indian, Chinese",₹200,5 AM to 11 PM (Mon-Sun),,,,,,,
Amba Bhawani Hotel,Kukatpally,Quick Bites,-,,,https://www.zomato.com/hyderabad/amba-bhawani-hotel-kukatpally,130,South Indian,₹200,7 AM to 10 PM (Mon-Sun),,,,,,,
Hotel Air India,S D Road,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/hotel-air-india-sd-road-secunderabad,130,"Street Food, Chinese",₹200,6 AM to 11 PM (Mon-Sun),,,,,,,
FYK Golconda Ice Cream Parlour,Langer Houz,Dessert Parlor,-,,,https://www.zomato.com/hyderabad/fyk-golconda-ice-cream-parlour-langer-houz,130,"Ice Cream, Desserts",₹100,9 AM to 7 PM (Mon-Sun),,,,,,,
Roshan Lime Juice,Paradise Circle,Beverage Shop,-,,1 Review,https://www.zomato.com/hyderabad/roshan-lime-juice-paradise-circle-secunderabad,130,"Beverages, Juices",₹50,10:30 PM to 11 PM (Mon-Sun),,,,,,,
Shams Hotel,Charminar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/shams-hotel-charminar,130,Street Food,₹150,8 AM to 12 Midnight (Mon-Sun),,,,,,,
Friends Fast Food Center,Dilsukhnagar,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/friends-fast-food-center-dilsukhnagar,130,"Chinese, Street Food",₹150,11:30 AM to 10 PM (Mon-Sun),,,,,,,
Al Jaidi Arabaian Shawarma,Chandrayanagutta,Quick Bites,-,,1 Review,https://www.zomato.com/hyderabad/al-jaidi-arabaian-shawarma-chandrayanagutta,130,Arabian,₹150,4 PM to 12 Midnight (Mon-Sun),,,,,,,
Sri Sai Jyothi Hotel,Kukatpally,Quick Bites,-,,,https://www.zomato.com/hyderabad/sri-sai-jyothi-hotel-kukatpally,130,"South Indian, Street Food, Chinese",₹300,6 AM to 10 PM (Mon-Sun),,,,,,,
Hotel Amruta,Kukatpally,Casual Dining,-,,1 Review,https://www.zomato.com/hyderabad/hotel-amruta-kukatpally,130,"South Indian, Biryani",₹400,12:30 PM to 10:30 PM (Mon-Sun),,,,,,,
Cafe Dreamz,Nallakunta,Quick Bites,-,,,https://www.zomato.com/hyderabad/cafe-dreamz-nallakunta,130,"Street Food, Hyderabadi",₹100,6 AM to 10:30 PM (Mon-Sun),,,,,,,
Zam Zam Tea Point,Falaknuma,Quick Bites,-,,,https://www.zomato.com/hyderabad/zam-zam-tea-point-falaknuma,130,"Street Food, Chinese",₹100,5 AM to 11 PM (Mon-Sun),,,,,,,
